year,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
1875,0.187172414,0.220651347,0.185523449,0.187240869,0.112338531,0.1580159,0.248499566,0.192328389,0.372026708,0.130444254,0.561132579,0.526861786,0.340228955,0.412178462,0.277621724,0.393904073,0.292114028,0.47151756,0.309540067,0.436944129,0.191694093,0.293272427,0.339604198,0.147210744,0.316999492,0.382101257
1876,0.189793103,0.225732985,0.187778304,0.189450201,0.114449647,0.160797684,0.251462871,0.193599312,0.375453641,0.134132049,0.566045088,0.532188453,0.342314681,0.416456248,0.280503016,0.398503594,0.294056492,0.472295749,0.309836522,0.438154151,0.19499256,0.296238218,0.342258853,0.152569731,0.319148446,0.385269735
1877,0.192367816,0.230795115,0.190052108,0.191659533,0.116592116,0.163611282,0.254426176,0.194870234,0.378880573,0.137819844,0.571020177,0.53751512,0.344400407,0.420734034,0.283384308,0.403103116,0.295998956,0.473073937,0.310132976,0.439367753,0.198291027,0.299246621,0.345181849,0.157864153,0.3212974,0.388438212
1878,0.195126437,0.235852369,0.19234486,0.193868865,0.118776389,0.166435485,0.257389481,0.196141157,0.382307506,0.141507639,0.575460494,0.542841786,0.346486134,0.425011821,0.286265599,0.407702637,0.29794142,0.473852126,0.310429431,0.440584935,0.201589494,0.302297636,0.348028176,0.163287707,0.323472523,0.391606689
1879,0.198252874,0.2409145,0.194675509,0.196078197,0.121002466,0.169259687,0.260352786,0.197412079,0.385734439,0.145195435,0.580387226,0.548168453,0.34857186,0.429289607,0.289146891,0.412302158,0.299883885,0.474634011,0.310725886,0.441805698,0.204887961,0.305391263,0.350347405,0.169227789,0.325647646,0.394775166
1880,0.201563218,0.246074167,0.197044055,0.198287528,0.123259897,0.172105099,0.263316091,0.198683002,0.389161371,0.14888323,0.584284236,0.55349512,0.350657586,0.433567394,0.292028183,0.41690168,0.301826349,0.475415896,0.311022341,0.443028846,0.208186428,0.308536024,0.352743303,0.175426136,0.327822769,0.397943643
1881,0.204643678,0.25234087,0.199412601,0.20049686,0.125569583,0.17499293,0.266279396,0.199953925,0.392588304,0.152571025,0.587828525,0.558821786,0.352743312,0.43784518,0.294909475,0.421501201,0.303768813,0.479406654,0.311318795,0.444456057,0.211484895,0.311723397,0.355666299,0.181301653,0.329997892,0.40111212
1882,0.207034483,0.258602696,0.201837991,0.202706192,0.127921074,0.177880761,0.269242701,0.201224847,0.396015237,0.156258821,0.591463839,0.564148453,0.354829038,0.442122967,0.297790767,0.426100722,0.305711277,0.483430684,0.31161525,0.445886848,0.214783362,0.317535666,0.358560544,0.187435434,0.332330029,0.404280597
1883,0.209655172,0.264864522,0.204282331,0.204915524,0.130324819,0.180779196,0.272206006,0.20249577,0.399442169,0.159946616,0.594937014,0.56947512,0.356914764,0.446400753,0.300672059,0.430700243,0.307653741,0.487489834,0.311911705,0.447323606,0.218081829,0.32083383,0.361933969,0.195054236,0.33479301,0.407449075
1884,0.212275862,0.271126348,0.206764567,0.207124856,0.132759918,0.183677632,0.275169311,0.203766692,0.402869102,0.163634411,0.599078655,0.574801786,0.35900049,0.450678539,0.30355335,0.435299765,0.309596206,0.491582255,0.31220816,0.448763944,0.221380296,0.324183129,0.365499066,0.203641529,0.337334497,0.410617552
1885,0.214528736,0.277388175,0.209265751,0.209334187,0.135247272,0.186554858,0.278132615,0.205037615,0.406296035,0.167322207,0.603086602,0.580128453,0.361086217,0.454956326,0.306434642,0.439899286,0.31153867,0.495709797,0.312504614,0.450209055,0.224678763,0.327592084,0.368268724,0.210743802,0.339588127,0.413786029
1886,0.216597701,0.283654878,0.211804832,0.211543519,0.137776431,0.189315433,0.28109592,0.206308538,0.409722967,0.171010002,0.607239621,0.58545512,0.363171943,0.459234112,0.309315934,0.444498807,0.313481134,0.49987061,0.312801069,0.451658939,0.22797723,0.331043652,0.370137525,0.217394112,0.341789419,0.416954506
1887,0.218850575,0.289916704,0.214362861,0.213752851,0.140357845,0.192086612,0.284059225,0.20757946,0.4131499,0.174697797,0.611176456,0.590781786,0.365257669,0.463511899,0.312197226,0.449098328,0.315423598,0.504066543,0.313097524,0.453112403,0.231275697,0.334563398,0.372475921,0.224367252,0.344069218,0.420122983
1888,0.221287356,0.29617853,0.216958787,0.215962183,0.142991514,0.194974443,0.28702253,0.208850383,0.416576833,0.178385592,0.615155958,0.596108453,0.367343395,0.467789685,0.315078518,0.45369785,0.317366063,0.508299445,0.313393979,0.454571835,0.234574164,0.338125756,0.376165604,0.23121126,0.346689212,0.42329146
1889,0.223678161,0.302440357,0.21959261,0.218171515,0.145666987,0.197851669,0.289985835,0.210121305,0.420003765,0.182073388,0.61944267,0.60143512,0.369429121,0.472067471,0.31795981,0.458297371,0.319308527,0.512565619,0.313690433,0.456036039,0.237872631,0.341747771,0.380353635,0.237474174,0.349570896,0.426459937
1890,0.226114943,0.308711936,0.222245381,0.220380846,0.148394716,0.200750104,0.29294914,0.211392228,0.423430698,0.185761183,0.623533109,0.606761786,0.371514847,0.476345258,0.320841101,0.462896892,0.321250991,0.516868762,0.313986888,0.457503824,0.241171098,0.345429443,0.384081652,0.243543388,0.351981539,0.429628415
1891,0.228597701,0.31510056,0.225561345,0.222590178,0.151948079,0.204273686,0.295912445,0.212663151,0.426857631,0.189448978,0.627475632,0.612393875,0.373600573,0.481557546,0.324351824,0.468684358,0.323193455,0.517763401,0.314284423,0.459904923,0.245466066,0.349034413,0.386985481,0.249870868,0.354742846,0.432796892
1892,0.230896552,0.321489183,0.228953103,0.22479951,0.1555746,0.207797267,0.29887575,0.213934073,0.430284563,0.193136774,0.631648563,0.618025963,0.3756863,0.486769834,0.327862547,0.474471824,0.325135919,0.518658041,0.314581957,0.462319149,0.249761033,0.352690518,0.389898893,0.255681818,0.357634997,0.435965369
1893,0.233195402,0.32787293,0.232363809,0.227008842,0.15929518,0.211310243,0.301839055,0.215204996,0.433711496,0.196824569,0.63578167,0.623658052,0.377772026,0.491982122,0.33137327,0.48025929,0.327078384,0.519554529,0.314879492,0.464745309,0.254056001,0.356406279,0.392936892,0.260782541,0.360213121,0.439133846
1894,0.235448276,0.334261553,0.235850308,0.229218174,0.16310982,0.214865639,0.30480236,0.216475918,0.437138429,0.200512364,0.640697024,0.62929014,0.379857752,0.49719441,0.334883993,0.486046756,0.329020848,0.520452865,0.315177027,0.467183401,0.258350969,0.360173175,0.396281566,0.265818698,0.362948259,0.442302323
1895,0.237655172,0.340650177,0.239943155,0.231427505,0.167008068,0.21838922,0.307765665,0.217746841,0.440565361,0.20420016,0.645464462,0.634922228,0.381943478,0.502406698,0.338394716,0.491834222,0.330963312,0.52135305,0.315474561,0.469634621,0.262645937,0.363991205,0.400354593,0.270854855,0.365212356,0.4454708
1896,0.239908046,0.3470388,0.242955945,0.233636837,0.171000376,0.221359237,0.31072897,0.219017764,0.443992294,0.207887955,0.650849163,0.640554317,0.384029204,0.507618986,0.34190544,0.497621688,0.332905776,0.522255083,0.315772096,0.472036914,0.266940904,0.367945593,0.404389286,0.27576188,0.368130676,0.448639277
1897,0.242252874,0.353427423,0.246594031,0.235846169,0.175086744,0.225092791,0.313692275,0.220288686,0.447419227,0.21157575,0.656788549,0.646186405,0.38611493,0.512831275,0.345416163,0.503409155,0.33484824,0.523158965,0.31606963,0.47445114,0.271235872,0.371959638,0.408673152,0.280862603,0.370839645,0.451807755
1898,0.244827586,0.359816047,0.250288963,0.238055501,0.179277622,0.228858159,0.31665558,0.221559609,0.450846159,0.215263545,0.662736469,0.651818493,0.388200656,0.518043563,0.348926886,0.509196621,0.336790705,0.524062847,0.316367165,0.476877299,0.27553084,0.376016295,0.413484115,0.285446798,0.373784134,0.454976232
1899,0.247494253,0.36620467,0.254021791,0.240264833,0.18356256,0.232623527,0.319618885,0.222830531,0.454273092,0.218951341,0.668493804,0.657450582,0.390286382,0.523255851,0.352437609,0.514984087,0.338733169,0.524970425,0.3166647,0.479369391,0.279825808,0.380158176,0.418093823,0.289579029,0.376362258,0.458144709
1900,0.250896552,0.372544525,0.257830412,0.242474164,0.187952009,0.236388895,0.322582189,0.224101454,0.457700025,0.222639136,0.673875662,0.66308267,0.392372109,0.528468139,0.355948332,0.520771553,0.340675633,0.525878004,0.316962234,0.481832843,0.284120775,0.384359713,0.422665197,0.293646694,0.378521679,0.461313186
1901,0.254528736,0.379845112,0.26063477,0.247362311,0.192216044,0.24100193,0.325545494,0.225372377,0.461126957,0.226326931,0.67952775,0.669238739,0.394457835,0.537149423,0.361795588,0.530968829,0.342618097,0.529020333,0.317588041,0.484624556,0.289158871,0.388407847,0.428022426,0.298230888,0.383279271,0.464481663
1902,0.259770115,0.387555352,0.263458077,0.252278074,0.196291961,0.245721012,0.328508799,0.226643299,0.46455389,0.230014727,0.685780034,0.675394808,0.396543561,0.545830707,0.367642844,0.541166106,0.344560562,0.532347505,0.318213848,0.487417462,0.293255532,0.392541206,0.433705496,0.303073347,0.385969519,0.46765014
1903,0.267264368,0.394758403,0.26631928,0.257000521,0.200451486,0.250577955,0.331472104,0.227914222,0.467980823,0.233702522,0.691821823,0.681550876,0.398629287,0.554511991,0.3734901,0.551363382,0.346503026,0.535489834,0.318839655,0.490169795,0.297393639,0.396734221,0.439321482,0.307528409,0.389837368,0.470818617
1904,0.275586207,0.402263816,0.26921838,0.261584884,0.204705071,0.255668201,0.334435409,0.229185144,0.471407755,0.237390317,0.69790628,0.687706945,0.400715013,0.563193275,0.379337356,0.561560659,0.34844549,0.538817006,0.319465462,0.492966281,0.301602798,0.400986893,0.444467871,0.312435434,0.393495865,0.473987094
1905,0.283494253,0.410369077,0.272155377,0.266307331,0.209052715,0.260556958,0.337398714,0.230456067,0.474834688,0.241078113,0.703655082,0.693863014,0.402800739,0.571874559,0.385184612,0.571757935,0.350387954,0.542144177,0.320091269,0.495811695,0.305859325,0.405316266,0.448790071,0.317858988,0.399064693,0.477155572
1906,0.288827586,0.418284143,0.275111322,0.270919311,0.213483968,0.265530552,0.340362019,0.23172699,0.478261621,0.244765908,0.710066661,0.700019083,0.404886465,0.580555843,0.391031868,0.581955212,0.352330418,0.545471349,0.320717076,0.498620115,0.310175062,0.409381445,0.452604341,0.323347107,0.402670853,0.480324049
1907,0.303264368,0.42593586,0.278086215,0.275973158,0.218009281,0.270726845,0.343325324,0.232997912,0.481688553,0.248453703,0.716116983,0.706175151,0.406972192,0.589237127,0.396879124,0.592152488,0.354272883,0.548798521,0.321342884,0.501438081,0.314544087,0.413506281,0.457051128,0.329028926,0.404549864,0.483492526
1908,0.313241379,0.434304469,0.281117954,0.280861304,0.222639104,0.276018579,0.346288629,0.234268835,0.485115486,0.252141498,0.722525717,0.71233122,0.409057918,0.597918411,0.40272638,0.602349765,0.356215347,0.552125693,0.321968691,0.504269175,0.318966402,0.417716341,0.462504193,0.335291839,0.407580308,0.486661003
1909,0.321517241,0.443033962,0.28416864,0.286218934,0.227352535,0.281469384,0.349251934,0.235539757,0.488542419,0.255829294,0.728911695,0.718487289,0.411143644,0.606599695,0.408573637,0.612547041,0.358157811,0.555452865,0.322594498,0.507126522,0.323442005,0.422011625,0.468340601,0.342329545,0.410924779,0.48982948
1910,0.330482759,0.452407194,0.284225486,0.29152133,0.232180929,0.287111073,0.352215239,0.23681068,0.491969351,0.259517089,0.735328962,0.724643358,0.41322937,0.615280979,0.414420893,0.622744318,0.360100275,0.558410351,0.323220305,0.510014896,0.327935371,0.426409177,0.474560353,0.349948347,0.41474029,0.492997957
1911,0.340689655,0.459561477,0.284036002,0.296934193,0.237103382,0.293070903,0.355178544,0.238081603,0.495396284,0.263204884,0.741788898,0.730701978,0.415315096,0.623962263,0.420268149,0.632941594,0.362042739,0.56025878,0.326912868,0.515676602,0.332606366,0.43091752,0.481240117,0.359439566,0.418712814,0.496166434
1912,0.349517241,0.466725514,0.283846518,0.302512756,0.242130346,0.29911557,0.358141849,0.239352525,0.498823217,0.26689268,0.746399886,0.736760598,0.417400822,0.632643547,0.426115405,0.643138871,0.363985204,0.560813309,0.330648624,0.52139559,0.336809604,0.435545177,0.488197805,0.371448864,0.421062866,0.499334912
1913,0.361011494,0.476006086,0.283657035,0.308201785,0.247272271,0.305298098,0.361105154,0.240623448,0.502250149,0.270580475,0.750851581,0.742819218,0.419486548,0.641324831,0.431962661,0.653336147,0.365927668,0.561367837,0.334449172,0.52717663,0.34106021,0.440070565,0.495203412,0.383716426,0.423412918,0.502503389
1914,0.372091954,0.485267152,0.283467551,0.314194598,0.252508256,0.311597277,0.368176647,0.250981674,0.505677082,0.279426656,0.757291605,0.737600763,0.416345993,0.641399538,0.43201298,0.652389018,0.371505826,0.561922366,0.340898465,0.533010247,0.345221218,0.444681177,0.502141933,0.392303719,0.428201121,0.505671866
1915,0.376597701,0.492270253,0.283278067,0.320132177,0.257869654,0.317164733,0.375248141,0.261339901,0.509104015,0.288272837,0.7582047,0.732382309,0.413205437,0.641474245,0.432063299,0.651441889,0.377083984,0.562292052,0.346743046,0.538865343,0.349447357,0.449377013,0.509118789,0.395338326,0.43403608,0.508840343
1916,0.377655172,0.499209956,0.283088584,0.326290689,0.263335563,0.322350421,0.382319634,0.271698127,0.512530947,0.297119019,0.758179099,0.727163854,0.410064881,0.641548952,0.432113617,0.65049476,0.382662142,0.56284658,0.353192339,0.544794427,0.353720863,0.454158073,0.515741051,0.394498967,0.43984487,0.51200882
1917,0.380551724,0.506295964,0.2828991,0.332366352,0.268926884,0.327620946,0.389391128,0.282056354,0.51595788,0.3059652,0.756517892,0.721945399,0.406924325,0.641623659,0.432163936,0.649547631,0.3882403,0.563401109,0.359684826,0.550817784,0.358029895,0.458981745,0.521702046,0.393982438,0.445732167,0.515177297
1918,0.385011494,0.511860406,0.282709616,0.338690564,0.274622716,0.332880867,0.396462621,0.29241458,0.519384813,0.314811381,0.752182823,0.716726944,0.403783769,0.641698366,0.432214255,0.648600502,0.393818458,0.563955638,0.366242103,0.556878136,0.362664581,0.459441954,0.526005079,0.399535124,0.451619464,0.518345774
1919,0.393011494,0.514371964,0.282520133,0.345180476,0.280454412,0.338352881,0.403534115,0.302772807,0.522811745,0.323657563,0.738523373,0.711508489,0.400643213,0.641773073,0.432264573,0.647653373,0.399396616,0.564325323,0.372885768,0.563030375,0.36683151,0.463941775,0.529522258,0.412448347,0.45753293,0.521514252
1920,0.404505747,0.521238515,0.282330649,0.351559922,0.28640107,0.344386944,0.410605608,0.313131033,0.526238678,0.332503744,0.742573989,0.706701,0.397502657,0.64184778,0.432314892,0.646706244,0.404974774,0.564879852,0.379378255,0.569245861,0.372141187,0.468671701,0.534936988,0.426071798,0.463472564,0.524682729
1921,0.41508046,0.531396914,0.282235907,0.356834701,0.292305924,0.350908821,0.417677102,0.32348926,0.529665611,0.341349925,0.736301793,0.714873599,0.394362101,0.636840077,0.428941966,0.639298321,0.410552932,0.568022181,0.387144958,0.571297769,0.377083764,0.473853313,0.541377162,0.434917355,0.468967328,0.527851206
1922,0.421103448,0.538809668,0.286669825,0.363794096,0.298294386,0.357992746,0.424748595,0.333847486,0.533092543,0.350196106,0.741419108,0.727183868,0.391221545,0.63623506,0.428534459,0.637487124,0.41613109,0.573752311,0.395019644,0.57338667,0.38219805,0.479128671,0.548267766,0.444085744,0.474697611,0.531019683
1923,0.425563218,0.548090241,0.291179536,0.370284009,0.304397809,0.365925046,0.431820089,0.344205713,0.536519476,0.359042288,0.747705527,0.739522158,0.388080989,0.639200236,0.430531646,0.640214377,0.421709248,0.579667283,0.402980719,0.575501825,0.387555095,0.484472208,0.555244621,0.453447831,0.480323219,0.53418816
