t,Region,Urban,Rural
2002,27,0,0
2003,1,42.48066,53.99258
2003,2,50.64222,64.3355
2003,3,28.86667,36.9635
2003,4,15.42533,20.18788
2003,5,17.71284,22.35549
2003,6,13.95165,17.75667
2003,7,12.36182,16.2909
2003,8,8.074405,10.78091
2003,9,4.970126,6.763487
2003,10,8.812428,11.53585
2003,11,39.75629,50.96394
2003,12,25.76347,33.65203
2003,13,24.41158,31.66561
2003,14,17.58669,22.80264
2003,15,14.10981,18.79623
2003,16,18.10712,23.33881
2003,17,15.80994,20.53044
2003,18,6.163317,8.326089
2003,19,25.40752,32.63626
2003,20,21.28344,28.39746
2003,21,9.870321,13.21244
2003,22,9.658222,12.86483
2003,23,27.82137,36.11503
2003,24,47.0303,59.385
2003,25,10.85037,14.67511
2003,26,7.0396,9.480637
2003,27,0,0
2004,1,43.17306,54.8585
2004,2,51.06403,64.82673
2004,3,29.55002,37.81919
2004,4,15.69479,20.52915
2004,5,17.48096,22.02835
2004,6,14.67768,18.66837
2004,7,12.44717,16.39884
2004,8,8.157882,10.88594
2004,9,4.999321,6.801137
2004,10,9.295172,12.16139
2004,11,40.00686,51.26485
2004,12,26.55747,34.68405
2004,13,25.59536,33.18048
2004,14,18.35451,23.79324
2004,15,14.21528,18.93721
2004,16,18.55855,23.92354
2004,17,16.09898,20.89659
2004,18,6.22274,8.404492
2004,19,25.39664,32.61052
2004,20,22.38158,29.82125
2004,21,10.05017,13.44691
2004,22,9.740989,12.97251
2004,23,28.04648,36.4007
2004,24,48.29448,60.95421
2004,25,10.87946,14.70963
2004,26,7.069451,9.515625
2004,27,0,0
2005,1,44.01021,55.90771
2005,2,51.44783,65.26803
2005,3,30.12785,38.53873
2005,4,16.14769,21.10978
2005,5,17.81453,22.41161
2005,6,15.45406,19.64258
2005,7,12.57375,16.56101
2005,8,8.171518,10.8977
2005,9,5.048323,6.865706
2005,10,9.842672,12.87091
2005,11,40.21002,51.50455
2005,12,27.19089,35.50605
2005,13,26.45991,34.27968
2005,14,19.67663,25.50182
2005,15,14.36077,19.13153
2005,16,19.04445,24.55284
2005,17,16.17189,20.98194
2005,18,6.330666,8.548355
2005,19,25.95396,33.31401
2005,20,23.6427,31.45791
2005,21,10.20232,13.64414
2005,22,9.806613,13.05732
2005,23,28.23899,36.64393
2005,24,49.24172,62.12172
2005,25,10.93919,14.78554
