t,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
2004,34374.56596,40046.77808,12038.26483,7714.614207,8344.16075,7874.344203,4853.246781,1350.488305,957.9957436,8001.646808,30002.43859,12516.89003,9870.959605,5573.685756,3548.419141,10343.19769,10049.01863,2000.710426,15233.17749,4716.490571,4163.552048,3045.907308,29825.45285,27316.8478,1553.889331,1431.622163
2005,35069.09163,40880.21095,12296.22946,7961.29004,8505.417044,8358.868137,4994.973549,1382.885935,994.8387622,8294.739901,30374.05439,13142.5379,10562.12847,5865.29548,3832.547851,11087.96197,10431.32478,2154.279561,15766.57796,5105.73431,4335.762457,3176.414788,30386.92568,27736.18318,1630.904361,1534.786258
2006,35678.30445,41582.83372,12767.45818,8303.328448,8749.111135,8851.230787,5188.476239,1415.221758,1053.263934,8662.022916,31153.33087,14001.67634,11139.77222,6372.677548,4116.698615,12079.63228,10753.66005,2319.275667,16484.36042,5710.797426,4555.583257,3336.961458,30883.7921,28055.32604,1708.346544,1644.823414
2007,36076.94975,41994.60013,13016.47001,8536.509632,9192.427717,9378.721476,5376.484582,1455.589552,1114.764202,9046.816835,31925.77679,14870.35823,11505.04654,6926.690172,4464.69303,13182.92043,11048.95948,2509.864729,17224.57189,6468.842656,4803.606376,3503.374566,31548.17535,28603.4248,1787.923149,1786.492237
2008,35943.26715,41472.76108,13003.99587,8617.106127,9579.529345,9797.013576,5569.961485,1494.746844,1157.452476,9283.536498,31795.74879,15503.36109,11428.83101,7272.915908,4701.850766,13897.69735,11261.911,2570.535551,17535.91407,7033.17901,4933.040592,3678.2123,31212.36567,28975.49776,1823.596268,1875.362129
2009,34587.09949,39659.04118,12076.24136,8463.482342,9463.923098,9682.451809,5692.457646,1526.642975,1186.470199,9061.422796,30297.49849,14918.34341,10737.62902,6527.621994,4807.920196,12885.33819,11152.30006,2743.422845,17505.7483,7609.502511,4883.043424,3797.808904,29485.61937,28823.2182,1879.525795,1888.282798
2010,35341.03883,40502.38486,12588.19853,8512.972746,10088.15994,10096.60886,5844.4494,1586.453384,1227.60939,9252.349933,30771.20581,15224.23598,11574.888,6911.285627,5105.371722,13447.9219,11450.9658,2964.085787,18512.19745,8354.782455,5232.951481,3985.247285,30797.18137,28968.61406,1939.615521,1943.7494
2011,36049.50515,40769.54444,12962.32134,8626.784444,10397.16629,10550.94391,5510.704124,1622.566263,1243.769432,9489.604893,31141.18978,15696.11115,12446.14534,7322.012076,5468.928057,14037.60319,11926.11255,3118.919291,19132.55481,9085.119541,5369.081434,4187.890035,30701.6531,29275.11549,1992.533971,2027.203989
2012,36403.51042,41333.75543,13365.73672,8725.436686,10498.1396,10943.49524,5798.658059,1666.772595,1212.864546,9650.565863,30875.43433,15793.9074,12568.94333,7408.749495,5747.624002,14551.85026,12033.02517,3234.910418,19513.61959,9715.963033,5621.50865,4396.056926,31290.87159,29903.58138,2063.971097,2090.290345
2013,36792.0347,41869.65428,13434.88162,8859.701227,10706.43804,11276.54692,5796.176536,1715.116226,1250.562899,9821.886659,30820.43224,16042.20067,12953.27662,7491.829175,6086.10589,14814.79178,12075.16961,3414.336775,20024.98126,10389.51271,5812.799299,4596.004083,31854.79324,30262.91854,2120.245925,2174.568357
2014,37345.87815,42489.39208,13620.07761,8971.296391,10646.14497,11323.53238,5767.680397,1777.034604,1287.640989,9933.252523,31124.9967,16475.95889,13189.3138,7229.095255,6377.610066,14963.35303,12211.38769,3617.979533,20637.99802,11062.84262,5977.019827,4783.127591,31889.808,30672.65374,2186.855084,2246.608268
2015,37844.22567,43179.95321,13940.16948,9217.543491,10906.27013,11714.10685,5891.79887,1839.806384,1317.118247,10213.55939,31423.53623,16888.20231,13645.87808,7551.572004,6724.085943,15552.46179,12484.73011,3804.563857,21369.08587,11974.69471,6192.304766,5041.357773,32269.38231,31207.44167,2255.44461,2316.73414
2016,38390.98398,44090.40293,14257.44615,9499.531854,11259.70666,12073.82463,6128.086634,1912.699687,1372.781984,10573.6056,31849.69583,17415.80219,14089.90283,7871.399506,7081.87105,16127.73802,12788.45551,4015.301763,22127.88689,12886.47053,6447.671172,5332.261659,32640.6749,31775.45755,2341.920811,2403.260951
2017,38945.64164,45020.04949,14581.94399,9790.146967,11624.59691,12444.58865,6373.850606,1988.48103,1430.798169,10946.34407,32281.63493,17959.88468,14548.37574,8204.772483,7458.693717,16724.29337,13099.56986,4237.712614,22913.6324,13867.67068,6713.568713,5639.951713,33016.23959,32353.81205,2431.712604,2493.019418
2018,39508.31277,45969.29766,14913.82737,10089.65274,12001.31207,12826.73813,6629.470825,2067.264837,1491.26622,11332.22224,32719.43189,18520.96471,15021.76695,8552.264619,7855.566921,17342.91494,13418.25293,4472.442984,23727.27917,14923.58126,6990.431687,5965.396553,33396.12555,32942.69336,2524.947112,2586.13024
2019,40079.11315,46938.56073,15253.26438,10398.32117,12390.23532,13220.62269,6895.342569,2149.170066,1554.289757,11731.70331,33163.16616,19099.57329,15510.5619,8914.473895,8273.557542,17984.41895,13744.68884,4720.175262,24569.81796,16059.89087,7278.712301,6309.620693,33780.38248,33542.29307,2621.756332,2682.718622
2020,40658.16023,47928.26072,15600.42694,10716.43256,12791.76231,13626.60269,7171.876972,2234.320387,1619.976779,12145.26679,33612.91827,19696.25803,16015.26179,9292.023617,8713.789225,18649.65181,14079.06621,4981.629633,25442.2747,17282.72123,7578.881409,6673.707763,34169.06069,34152.80627,2722.277323,2782.914446
2021,41085.41483,48662.92712,15954.46316,11049.26237,13129.58444,14003.8402,7456.209484,2330.512904,1684.380378,12538.68102,34016.78354,20242.98583,16456.89161,9667.076007,9177.505324,19278.47282,14400.65107,5234.451313,26222.93842,18287.72946,7860.96645,7036.926073,34635.56079,34643.26541,2830.68674,2864.569984
2022,41517.15922,49408.85482,16316.53389,11392.42917,13476.32823,14391.52112,7751.814496,2430.846726,1751.344398,12944.83887,34425.50132,20804.88968,16910.69961,10057.26657,9665.898703,19928.49615,14729.58136,5500.103896,27027.55581,19351.17997,8153.550661,7419.912635,35108.42987,35140.7679,2943.413352,2948.621436
2023,41953.44057,50166.21644,16686.82145,11746.254,13832.2293,14789.93456,8059.138911,2535.500144,1820.970631,13364.15315,34839.12992,21382.39082,17377.02163,10463.20634,10180.2826,20600.43669,15066.02487,5779.238559,27856.86186,20476.47124,8457.024821,7823.743342,35587.7549,35645.41488,3060.629083,3035.139104
2024,42394.30657,50935.18725,17065.51233,12111.06789,14197.52949,15199.37764,8378.64735,2644.659127,1893.364916,13797.05002,35257.72834,21975.92222,17856.20273,10885.53098,10722.04013,21295.03343,15410.1532,6072.53953,28711.61411,21667.19937,8771.794252,8249.552642,36073.62401,36157.30896,3182.512703,3124.195351
2025,42839.8054,51715.94519,17452.79721,12487.21214,14572.47701,15620.1557,8710.822855,2758.517649,1968.6373,14243.96946,35681.35629,22585.92883,18348.59752,11324.90184,11292.62802,22013.05029,15762.14188,6380.725758,29592.59333,22927.16958,9098.279363,8698.536726,36566.12654,36676.55422,3309.250102,3215.864662
